iter	Passed	Remaining
411	3876	5531
412	3885	5522
413	3895	5513
414	3904	5504
415	3914	5494
416	3923	5485
417	3933	5476
418	3942	5467
419	3951	5457
420	3960	5447
421	3969	5437
422	3979	5428
423	3988	5418
424	3998	5409
425	4007	5399
426	4016	5389
427	4025	5380
428	4035	5371
429	4044	5361
430	4053	5351
431	4063	5342
432	4072	5332
433	4081	5323
434	4091	5313
435	4100	5304
436	4109	5295
437	4118	5285
438	4128	5275
439	4137	5265
440	4146	5256
441	4156	5247
442	4165	5237
443	4174	5227
444	4183	5217
445	4193	5208
446	4202	5199
447	4212	5190
448	4221	5180
449	4231	5171
450	4240	5161
451	4249	5151
452	4257	5141
453	4267	5132
454	4276	5122
455	4286	5113
456	4295	5103
457	4304	5094
458	4314	5085
459	4323	5075
460	4332	5065
461	4342	5056
462	4351	5047
463	4360	5037
464	4369	5027
465	4379	5018
466	4388	5008
467	4397	4999
468	4407	4989
469	4416	4980
470	4425	4970
471	4434	4960
472	4444	4951
473	4453	4942
474	4462	4932
475	4472	4923
476	4482	4914
477	4492	4905
478	4501	4896
479	4511	4887
480	4520	4877
481	4530	4868
482	4540	4860
483	4549	4850
484	4559	4841
485	4569	4832
486	4578	4823
487	4588	4814
488	4597	4804
489	4606	4794
490	4616	4785
491	4626	4776
492	4635	4767
493	4644	4757
494	4654	4748
495	4663	4739
496	4673	4729
497	4682	4720
498	4691	4710
499	4700	4700
500	4710	4691
501	4719	4681
502	4728	4672
503	4737	4662
504	4746	4652
505	4755	4642
506	4764	4632
507	4773	4623
508	4783	4614
509	4792	4604
510	4802	4595
511	4811	4585
512	4820	4576
513	4829	4566
514	4839	4557
515	4848	4547
516	4859	4539
517	4869	4530
518	4879	4521
519	4888	4512
520	4898	4503
521	4907	4493
522	4916	4484
523	4926	4474
524	4935	4465
525	4944	4455
526	4953	4446
527	4963	4437
528	4973	4427
529	4982	4418
530	4991	4408
531	5000	4399
532	5010	4389
533	5019	4380
534	5028	4370
535	5037	4361
536	5046	4351
537	5056	4341
538	5065	4332
539	5074	4322
540	5083	4313
541	5093	4303
542	5102	4294
543	5111	4284
544	5121	4275
545	5130	4266
546	5139	4256
547	5148	4246
548	5158	4237
549	5167	4228
550	5176	4218
551	5185	4208
552	5195	4199
553	5204	4190
554	5214	4180
555	5223	4171
556	5233	4162
557	5242	4152
558	5252	4143
559	5261	4134
560	5270	4124
561	5280	4115
562	5289	4105
563	5298	4096
564	5308	4086
565	5317	4076
566	5326	4067
567	5335	4057
568	5344	4048
569	5353	4038
570	5363	4029
571	5372	4020
572	5382	4010
573	5391	4001
574	5400	3991
575	5409	3982
576	5419	3972
577	5428	3963
578	5437	3953
579	5446	3943
580	5456	3934
581	5465	3925
582	5474	3915
583	5483	3906
584	5493	3896
585	5502	3887
586	5511	3878
587	5521	3868
588	5530	3859
589	5539	3849
590	5548	3840
591	5558	3830
592	5567	3821
593	5576	3811
594	5586	3802
595	5596	3793
596	5606	3784
597	5615	3775
598	5624	3765
599	5634	3756
600	5643	3746
601	5653	3737
602	5663	3728
603	5673	3719
604	5682	3710
605	5692	3701
606	5702	3691
607	5711	3682
608	5720	3673
609	5730	3663
610	5739	3654
611	5748	3644
612	5758	3635
613	5767	3626
614	5777	3616
615	5786	3607
616	5796	3597
617	5805	3588
618	5815	3579
619	5824	3570
620	5833	3560
621	5842	3550
622	5852	3541
623	5861	3532
624	5871	3522
625	5880	3513
626	5889	3503
627	5899	3494
628	5908	3485
629	5918	3475
630	5927	3466
631	5936	3456
632	5946	3447
633	5955	3438
634	5965	3428
635	5974	3419
636	5983	3410
637	5993	3400
638	6002	3391
639	6012	3381
640	6021	3372
641	6032	3363
642	6041	3354
643	6050	3344
644	6059	3335
645	6069	3326
646	6079	3316
647	6088	3307
648	6097	3297
649	6107	3288
650	6116	3278
651	6125	3269
652	6135	3260
653	6144	3250
654	6153	3241
655	6162	3231
656	6172	3222
657	6181	3212
658	6190	3203
659	6199	3193
660	6208	3184
661	6237	3184
662	6248	3175
663	6257	3166
664	6266	3156
665	6275	3147
666	6285	3138
667	6295	3128
668	6304	3119
669	6313	3109
670	6323	3100
671	6332	3090
672	6342	3081
673	6351	3072
674	6361	3062
675	6370	3053
676	6379	3043
677	6388	3034
678	6398	3024
679	6407	3015
680	6417	3005
681	6426	2996
682	6435	2986
683	6444	2977
684	6454	2968
685	6463	2958
686	6472	2949
687	6482	2939
688	6491	2930
689	6500	2920
690	6510	2911
691	6519	2901
692	6528	2892
693	6538	2882
694	6547	2873
695	6556	2863
696	6565	2854
697	6575	2844
698	6584	2835
699	6593	2825
700	6603	2816
701	6613	2807
702	6623	2798
703	6632	2788
704	6642	2779
705	6651	2769
706	6661	2760
707	6670	2751
708	6680	2741
709	6689	2732
710	6699	2722
711	6708	2713
712	6718	2704
713	6727	2694
714	6736	2685
715	6746	2675
716	6755	2666
717	6764	2656
718	6773	2647
719	6783	2637
720	6792	2628
721	6801	2618
722	6810	2609
723	6819	2599
724	6829	2590
725	6838	2580
726	6847	2571
727	6856	2561
728	6865	2552
729	6874	2542
730	6884	2533
731	6893	2523
732	6902	2514
733	6912	2505
734	6921	2495
735	6930	2486
736	6940	2476
737	6949	2467
738	6958	2457
739	6968	2448
740	6977	2438
741	6986	2429
742	6996	2420
743	7006	2410
744	7016	2401
745	7025	2392
746	7035	2382
747	7044	2373
748	7054	2363
749	7063	2354
750	7072	2345
751	7082	2335
752	7091	2326
753	7100	2316
754	7109	2307
755	7119	2297
756	7128	2288
757	7137	2278
758	7147	2269
759	7157	2260
760	7166	2250
761	7175	2241
762	7185	2231
763	7194	2222
764	7203	2212
765	7212	2203
766	7222	2193
767	7231	2184
768	7240	2174
769	7249	2165
770	7259	2156
771	7268	2146
772	7277	2137
773	7286	2127
774	7295	2118
775	7305	2108
776	7314	2099
777	7323	2089
778	7332	2080
779	7342	2070
780	7351	2061
781	7361	2052
782	7370	2042
783	7379	2033
784	7388	2023
785	7397	2013
786	7406	2004
787	7416	1995
788	7425	1985
789	7434	1976
790	7443	1966
791	7453	1957
792	7462	1948
793	7472	1938
794	7481	1929
795	7490	1919
796	7500	1910
797	7509	1900
798	7518	1891
799	7527	1881
800	7537	1872
801	7546	1863
802	7555	1853
803	7601	1853
804	7610	1843
805	7620	1834
806	7629	1824
807	7638	1815
808	7648	1805
809	7657	1796
810	7666	1786
811	7676	1777
812	7686	1767
813	7695	1758
814	7705	1749
815	7714	1739
816	7723	1730
817	7733	1720
818	7742	1711
819	7751	1701
820	7760	1691
821	7769	1682
822	7779	1673
823	7789	1663
824	7798	1654
825	7808	1644
826	7817	1635
827	7827	1625
828	7836	1616
829	7846	1607
830	7855	1597
831	7864	1588
832	7873	1578
833	7883	1569
834	7892	1559
835	7901	1550
836	7911	1540
837	7920	1531
838	7929	1521
839	7938	1512
840	7948	1502
841	7957	1493
842	7966	1483
843	7975	1474
844	7984	1464
845	7994	1455
846	8003	1445
847	8013	1436
848	8022	1426
849	8031	1417
850	8041	1407
851	8050	1398
852	8059	1388
853	8069	1379
854	8078	1370
855	8088	1360
856	8097	1351
857	8106	1341
858	8116	1332
859	8125	1322
860	8134	1313
861	8143	1303
862	8153	1294
863	8162	1284
864	8172	1275
865	8181	1266
866	8193	1256
867	8202	1247
868	8212	1237
869	8221	1228
870	8231	1219
871	8240	1209
872	8249	1200
873	8265	1191
874	8315	1187
875	8332	1179
876	8341	1169
877	8350	1160
878	8360	1150
879	8370	1141
880	8379	1131
881	8388	1122
882	8398	1112
883	8407	1103
884	8416	1093
885	8426	1084
886	8435	1074
887	8445	1065
888	8454	1055
889	8464	1046
890	8473	1036
891	8482	1027
892	8491	1017
893	8500	1007
894	8509	998
895	8518	988
896	8527	979
897	8537	969
898	8545	960
899	8555	950
900	8564	941
901	8573	931
902	8583	921
903	8592	912
904	8601	902
905	8610	893
906	8619	883
907	8629	874
908	8638	864
909	8647	855
910	8657	845
911	8666	836
912	8675	826
913	8685	817
914	8693	807
915	8703	798
916	8712	788
917	8721	779
918	8730	769
919	8740	760
920	8749	750
921	8758	740
922	8768	731
923	8777	721
924	8787	712
